ID	Obj. Type	PR95 ID	CFT01 ID	R.A.	Decl.	Dist.	RV	sigma_RV	
991	hii	50371	105	09 55 20.04	69 02 18.56	1.99	-74	17	
1011	hii	50480	 ... 	09 55 21.17	69 03 36.32	1.12	-20	17	
1027	hii	 ... 	54	09 55 21.89	69 07 36.52	3.83	139	14	
1036	gx	50589	 ... 	09 55 22.27	69 04 26.39	1.10	99145	18	
1121	hii	50577	 ... 	09 55 26.87	69 04 22.15	0.72	213	18	
1227	hii	 ... 	-	09 55 32.76	69 11 55.63	8.01	101	12	
1252	hii	50980	 ... 	09 55 34.21	69 08 31.50	4.61	117	11	
1426	hii	50845	 ... 	09 55 44.17	69 07 19.27	3.54	64	13	
1470	hii	50711	 ... 	09 55 46.85	69 05 48.86	2.26	40	24	
1471	gx	 ... 	-	09 55 46.86	68 55 43.02	8.29	124246	68	
1473	hii	50179	 ... 	09 55 46.88	68 59 20.18	4.74	-223	12	
1479	gx	 ... 	-	09 55 47.20	68 53 56.79	10.05	82813	71	
1497	gx	50775	 ... 	09 55 48.09	69 06 35.77	2.99	100229	79	
1515	hii	50113	 ... 	09 55 48.89	68 58 27.49	5.64	-235	12	
1593	hii	50152	 ... 	09 55 52.98	68 59 04.18	5.16	-234	14	
1673	hii	50633	 ... 	09 55 57.70	69 04 55.54	2.41	-36	13	
1685	hii	51008	 ... 	09 55 58.05	69 08 56.62	5.49	23	11	
1704	hii	 ... 	-	09 55 58.69	69 09 09.36	5.71	20	10	
1734	gx	 ... 	-	09 56 00.12	68 57 13.25	7.12	56775	21	
1736	gx	 ... 	-	09 56 00.13	69 05 33.40	2.91	100396	62	
1743	hii	50531	 ... 	09 56 00.60	69 04 00.31	2.45	-70	10	
1747	gx	 ... 	-	09 56 00.75	68 56 18.14	8.01	124037	69	
1757	hii	 ... 	-	09 56 01.03	68 59 02.00	5.49	-233	13	
1772	hii	50098	 ... 	09 56 01.58	68 58 03.84	6.39	-257	16	
1830	hii	 ... 	-	09 56 03.58	69 08 24.64	5.25	2	25	
1839	hii	51067	 ... 	09 56 04.01	69 09 39.84	6.37	29	63	
1843	gx	 ... 	-	09 56 04.17	68 56 13.83	8.18	123902	42	
1889	hii	50200	 ... 	09 56 06.19	68 59 34.23	5.26	-228	14	
1922	oc	50430	 ... 	09 56 08.11	69 03 05.31	3.23	-81	46	
1934	hii	 ... 	75	09 56 08.28	69 05 17.98	3.42	-23	10	
1970	gx	50962	 ... 	09 56 09.56	69 08 19.47	5.47	32332	17	
1976	hii	50319	 ... 	09 56 09.80	69 01 29.73	4.08	-186	13	
2002	oc	50584	 ... 	09 56 10.66	69 04 23.58	3.38	63	69	
2114	oc	50377	 ... 	09 56 15.33	69 02 22.19	4.08	-149	67	
2146	hii	 ... 	-	09 56 16.70	69 05 39.23	4.25	-72	11	
2240	oc	50822	 ... 	09 56 21.32	69 07 07.83	5.36	24	85	
2288	hii	50176	 ... 	09 56 24.38	68 59 15.82	6.54	-228	12	
2290	oc	50866	 ... 	09 56 24.49	69 07 28.86	5.80	8	20	
2412	gx	50170	 ... 	09 56 42.89	68 59 11.67	7.83	56450	36	
2462	gx	 ... 	-	09 56 53.48	69 03 11.55	7.21	128234	76	
2468	gx	 ... 	-	09 56 55.16	68 58 57.20	8.87	60258	15	
2471	gx	 ... 	-	09 56 55.37	68 57 59.10	9.47	36073	28	
2479	gx	 ... 	-	09 56 57.53	68 58 10.81	9.50	127370	56	
2484	gx	 ... 	-	09 56 59.07	69 01 28.74	8.07	127833	98	
2499	gx	50107	 ... 	09 57 04.67	68 58 13.24	9.99	83038	65	
2500	gx	20246	 ... 	09 57 04.72	69 01 31.67	8.53	63144	10	
2510	gx	50238	 ... 	09 57 09.62	69 00 02.11	9.47	26763	18	
2518	gx	50120	 ... 	09 57 13.18	68 58 28.51	10.49	104981	209	
-	hii	 ... 	-	09 54 40.90	69 05 01.85	4.80	44	14	
